run_name,timestamp,model_name,input_encoding,architecture_scale,num_params,estimated_flops_per_position,epochs_trained,best_epoch,best_score,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,val_accuracy,val_pr_auc,train_samples_per_second,test_samples_per_second,fit_elapsed_seconds,batch_size,learning_rate,epochs_configured,git_commit,config_hash
idea_i173_stripe_selective_mixer_cnn_seed42,2026-05-10T17:55:59Z,stripe_selective_mixer_cnn,simple_18,base,971137,16590753,11,10,0.8291045177757149,0.8199014315888289,0.6824935761367446,0.8599380630630631,0.7610090314543756,0.9109898245016369,0.8291045177757149,,,15169.596195786002,11310.403325051173,181.2463208353147,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,098adc909a0f1e6a
idea_i164_learnable_pooling_tree_boardnet_seed42,2026-05-10T17:21:30Z,learnable_pooling_tree_boardnet,simple_18,base,415745,14952017,13,12,0.8290572207366412,0.823562544003755,0.6983279971540377,0.8289695945945946,0.7580614018150222,0.9086567268451468,0.8290572207366412,,,14532.660360943664,12047.829594214829,185.6820921925828,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,b2d17fa6b27c0701
idea_i116_symmetric_difference_twin_encoder_seed42,2026-05-10T13:54:13Z,symmetric_difference_twin_encoder,simple_18,base,180417,20389601,13,12,0.8283339924648905,0.8174137526402253,0.6811724915445321,0.8505067567567568,0.7564792788280956,0.9082859987258224,0.8283339924648905,,,15387.517701378229,10922.715346789984,178.265310684219,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,abf5c39359397d1b
idea_i215_masked_codec_interaction_curvature_network_seed42,2026-05-10T21:27:48Z,masked_codec_interaction_curvature_network,simple_18,base,140971,39246609,12,11,0.8279329844577336,0.8153485097394978,0.6747904719894133,0.8613457207207207,0.756740044521395,0.9085773930794746,0.8277103730070446,,,14649.075348519926,11477.429890758094,185.3746697837487,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,a511f7452ba772c0
idea_i088_traced_threat_motif_network_seed42,2026-05-10T11:36:43Z,traced_threat_motif_network,simple_18,base,636321,44721677,13,12,0.8274555876923145,0.8313072048814832,0.7173643794897201,0.8153153153153153,0.76320990907893,0.9090928717429492,0.8274555876923145,,,3213.9809707523077,6962.766147293928,717.0368243111297,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,8e48ce76356123de
idea_i034_entropic_chess_geometry_transport_network_seed42,2026-05-10T02:41:48Z,entropic_chess_geometry_transport_network,simple_18,base,77261,6696073,9,8,0.8268479240173414,0.8149730110302745,0.6770040304523063,0.8512105855855856,0.7541780992766276,0.9061590885697682,0.8268479240173414,,,11795.339624201446,11387.179257551777,218.7518402542919,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,53765f71fd09e838
idea_i002_response_minimax_classifier_seed42,2026-05-09T17:33:30Z,response_minimax_classifier,simple_18,base,231844,368277081,13,12,0.8267868602798825,0.8162872565125557,0.6762430939226519,0.8614864864864865,0.7577070694564814,0.9086474240727243,0.8267868602798825,,,2408.1570794924883,5596.653500100346,948.0619914196432,96,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,46027f0f146b5e9e
idea_i027_rule_only_counterfactual_move_delta_bottleneck_seed42,2026-05-10T00:57:17Z,rule_only_counterfactual_move_delta_bottleneck,simple_18,base,201668,41496613,13,12,0.8266565068404328,0.7862473597747007,0.62451171875,0.9001970720720721,0.7374308118081181,0.9059411400256675,0.8266565068404328,,,2554.595328587485,2622.2444661370455,994.9382833279669,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,b8a71b8acb923842
idea_i052_soft_king_cage_path_bottleneck_network_seed42,2026-05-10T05:03:32Z,soft_king_cage_path_bottleneck_network,simple_18,base,111735,11938210,12,11,0.8260361204052646,0.8201361182820934,0.6902768085601303,0.8354448198198198,0.7559546554579034,0.9072311327285668,0.8260361204052646,,,4397.852639494357,5987.6317371945615,554.2639114111662,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,709b74941e59fccb
idea_i004_puzzle_obligation_flow_network_seed42,2026-05-09T17:54:53Z,puzzle_obligation_flow_network,simple_18,base,148326,14064401,12,11,0.8255362116305209,0.8238441680356724,0.7002509860164934,0.8247466216216216,0.7574171029668412,0.906542782087418,0.8255362116305209,,,2610.7731210448524,10183.931805607275,839.9604939278215,96,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,168efa7388d53572
